num_agents,skill_type,network,cooperation_proportion
200,gigawolf,1,0
200,gigawolf,1,0.5045616818722729
200,gigawolf,1,0.24071807425540595
200,gigawolf,1,0.3243580846634282
200,gigawolf,1,0.4630713918849512
200,gigawolf,1,0.3715277777777778
200,gigawolf,1,0.31555180926003973
200,gigawolf,1,0.4958968347010551
200,gigawolf,1,0.3071542350578295
200,gigawolf,1,0.36001552795031055
200,gigawolf,1,0.34850166481687017
200,gigawolf,1,0.26399340274198535
200,gigawolf,1,0.48304600981847245
200,gigawolf,1,0.3196451204055767
200,gigawolf,1,0.2937482158150157
200,gigawolf,1,0.3840738423028786
200,gigawolf,1,0.187049093788492
200,gigawolf,1,0.1666341843695186
200,gigawolf,1,0.18732782369146006
200,gigawolf,1,0.3132108486439195
200,gigawolf,1,0.5501334349980938
200,gigawolf,1,0.47783039173482567
200,gigawolf,1,0.5393966681674921
200,gigawolf,1,0.3293135435992579
200,gigawolf,1,0
200,gigawolf,1,0.61068281938326
200,gigawolf,1,0.5690515806988353
200,gigawolf,1,0.24930128563443266
200,gigawolf,1,0.4119351100811124
200,gigawolf,1,0.3951612903225806
200,random,1,0
200,random,1,0.12950191570881225
200,random,1,0.3320035460992908
200,random,1,0.33861326957561266
200,random,1,0.23837862115427802
200,random,1,0.29359006006747307
200,random,1,0.2425317533527283
200,random,1,0.14231979209410478
200,random,1,0.30524428507395784
200,random,1,0.33608815426997246
200,random,1,0.17929532108353854
200,random,1,0.2549063089034261
200,random,1,0.19033404406538734
200,random,1,0.3184724382236046
200,random,1,0.4030456852791878
200,random,1,0.2510553762105786
200,random,1,0.30885742509054986
200,random,1,0.1237234878240377
200,random,1,0.1570915619389587
200,random,1,0
200,random,1,0.25519031141868515
200,random,1,0.46107784431137727
200,random,1,0.7566718995290423
200,random,1,0
200,random,1,0.536178107606679
200,random,1,0.5827956989247312
200,random,1,0
200,random,1,0
200,random,1,1
200,random,1,0
100,S++,1,0.5
100,S++,1,0.009933774834437087
100,S++,1,0.8678537956888472
100,S++,1,0.6453731343283582
100,S++,1,0.37338044758539457
100,S++,1,0.3662492885600455
100,S++,1,0.25290628706998813
100,S++,1,0.40194264569842736
100,S++,1,0.21485797523670794
100,S++,1,0.4604012671594509
100,S++,1,0.4231966053748232
100,S++,1,0.2581331711766494
100,S++,1,0.11938296445338699
100,S++,1,0.7039192859914629
100,S++,1,0.3204255319148936
100,S++,1,0.2998236331569665
100,S++,1,0.2297160243407708
100,S++,1,0.38461538461538464
100,S++,1,0.30873493975903615
100,S++,1,0.3120689655172414
100,S++,1,0.14256410256410257
100,S++,1,0.5736526946107784
100,S++,1,0
100,S++,1,0.409288824383164
100,S++,1,0.26644182124789206
100,S++,1,0.26877470355731226
100,S++,1,0.4156479217603912
100,S++,1,0
100,S++,1,0.8141592920353983
100,S++,1,0
100,S,1,0
100,S,1,0.22256568778979907
100,S,1,0.12802148612354522
100,S,1,0.18663136995367308
100,S,1,0.09260450160771704
100,S,1,0.29841082989994117
100,S,1,0.1927645788336933
100,S,1,0
100,S,1,0.1529831718510964
100,S,1,0.07733910221741482
100,S,1,0.21763959390862944
100,S,1,0.09127248500999334
100,S,1,0.33553500660501984
100,S,1,0.09828788839568801
100,S,1,0.16733870967741934
100,S,1,0.20548961424332343
100,S,1,0
100,S,1,0
100,S,1,0.29141716566866266
100,S,1,0
100,S,1,0.6818181818181818
100,S,1,0
100,S,1,0
100,S,1,0.41
100,S,1,0.38235294117647056
100,S,1,0.30357142857142855
100,S,1,0
100,S,1,0
